2022-04-08 17:15:26,622 | INFO | post_viewed | post-slug: deneme, user: root
2022-04-08 17:15:33,307 | INFO | comment_added | post-slug: deneme, user: root
2022-04-08 17:15:33,317 | INFO | post_viewed | post-slug: deneme, user: root
2022-04-08 17:26:11,752 | INFO | post_viewed | post-slug: orange, user: root
2022-04-08 17:26:16,186 | INFO | comment_added | post-slug: orange, user: root
2022-04-08 17:26:16,199 | INFO | post_viewed | post-slug: orange, user: root
2022-04-08 17:26:20,286 | INFO | comment_added | post-slug: orange, user: root
2022-04-08 17:26:20,295 | INFO | post_viewed | post-slug: orange, user: root
2022-04-08 17:26:27,408 | INFO | comment_added | post-slug: orange, user: root
2022-04-08 17:26:27,417 | INFO | post_viewed | post-slug: orange, user: root
2022-04-08 17:26:30,897 | INFO | comment_added | post-slug: orange, user: root
2022-04-08 17:26:30,908 | INFO | post_viewed | post-slug: orange, user: root
2022-04-08 17:26:35,534 | INFO | comment_added | post-slug: orange, user: root
2022-04-08 17:26:35,546 | INFO | post_viewed | post-slug: orange, user: root
2022-04-08 17:33:24,841 | INFO | comment_deleted | post-slug: 10aculis-aliquam-orci-felis-e, comment-id: 5, user: root
2022-04-08 17:33:24,851 | INFO | post_viewed | post-slug: 10aculis-aliquam-orci-felis-e, user: root
